iter	Passed	Remaining
0	24	14753
1	47	14196
2	67	13466
3	107	15966
4	160	19118
5	190	18828
6	223	18910
7	269	19917
8	322	21165
9	340	20108
10	378	20244
11	415	20363
12	455	20547
13	469	19664
14	513	20008
15	538	19638
16	570	19575
17	604	19531
18	638	19528
19	648	18811
20	679	18728
21	694	18251
22	723	18161
23	732	17581
24	768	17670
25	803	17739
26	832	17671
27	839	17147
28	860	16951
29	876	16654
30	886	16274
31	898	15939
32	909	15625
33	935	15575
34	960	15507
35	968	15176
36	976	14864
37	987	14608
38	1003	14433
39	1019	14273
40	1049	14314
41	1068	14195
42	1091	14133
43	1107	14000
44	1140	14062
45	1178	14187
46	1195	14067
47	1224	14084
48	1253	14100
49	1274	14016
50	1286	13850
51	1317	13889
52	1344	13874
53	1354	13699
54	1374	13617
55	1397	13578
56	1411	13450
57	1437	13436
58	1458	13371
59	1479	13314
60	1499	13246
61	1527	13254
62	1545	13174
63	1567	13127
64	1587	13063
65	1613	13052
66	1632	12986
67	1638	12814
68	1660	12778
69	1679	12715
70	1698	12652
71	1703	12493
72	1726	12465
73	1741	12379
74	1754	12278
75	1772	12222
76	1797	12207
77	1811	12120
78	1825	12040
79	1848	12014
80	1858	11908
81	1874	11840
82	1888	11764
83	1914	11757
84	1945	11788
85	1958	11707
86	1973	11636
87	1987	11564
88	2013	11559
89	2026	11481
90	2054	11494
91	2071	11439
92	2102	11463
93	2124	11434
94	2147	11415
95	2157	11329
96	2180	11307
97	2207	11308
98	2219	11230
99	2234	11170
100	2257	11151
101	2271	11088
102	2295	11076
103	2320	11065
104	2330	10984
105	2347	10942
106	2368	10912
107	2386	10869
108	2391	10772
109	2409	10733
110	2419	10658
111	2443	10648
112	2462	10612
113	2481	10579
114	2504	10561
115	2528	10550
116	2539	10483
117	2562	10468
118	2590	10470
119	2605	10420
120	2616	10357
121	2632	10314
122	2653	10289
123	2672	10259
124	2695	10242
125	2714	10210
126	2729	10166
127	2745	10122
128	2764	10092
129	2786	10075
130	2813	10073
131	2840	10070
132	2863	10053
133	2888	10045
134	2915	10043
135	2937	10020
136	2968	10031
137	2990	10011
138	3008	9977
139	3031	9959
140	3060	9961
141	3088	9960
142	3115	9956
143	3142	9949
144	3165	9931
145	3187	9911
146	3210	9892
147	3232	9872
148	3251	9842
149	3274	9824
150	3300	9814
151	3319	9783
152	3337	9749
153	3351	9706
154	3376	9694
155	3403	9686
156	3431	9683
157	3458	9675
158	3485	9668
159	3497	9618
160	3513	9579
161	3539	9570
162	3569	9570
163	3600	9572
164	3619	9542
165	3638	9513
166	3665	9503
167	3687	9483
168	3705	9450
169	3731	9439
170	3754	9418
171	3781	9408
172	3806	9396
173	3834	9389
174	3862	9379
175	3881	9349
176	3899	9319
177	3909	9269
178	3923	9228
179	3946	9208
180	3969	9189
181	3993	9172
182	4012	9142
183	4036	9125
184	4059	9107
185	4083	9089
186	4098	9052
187	4113	9015
188	4132	8985
189	4142	8939
190	4169	8928
191	4188	8899
192	4216	8891
193	4236	8866
194	4269	8867
